"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Joel Embiid","Phi","C","30.1","37","33.6","39.6","14.9","433","0.882","683","0.559","123","0.374","0.56","0.644","34.7","11","5.5","1.2","1.7","3.8","45.7","40.2","51.2","15.2","124.1","105.4"
"","Luka Doncic","Dal","G","25.1","68","37.5","35.9","14.6","593","0.786","892","0.572","712","0.382","0.572","0.617","33.9","9.2","9.8","1.5","0.5","4","43","43.7","52.9","15.5","121.9","110.1"
"","Giannis Antetokounmpo","Mil","F","29.3","72","35.3","33","15.3","780","0.658","1235","0.645","124","0.274","0.623","0.648","30.7","11.6","6.5","1.2","1.1","3.4","42.2","37.2","48.8","15","125.9","106.9"
"","Shai Gilgeous-Alexander","Okc","G","25.7","71","34.4","32.7","9.9","610","0.872","1164","0.576","252","0.365","0.571","0.638","30.3","5.5","6.3","2.1","0.9","2.2","35.8","36.6","42.1","11.8","129","108.4"
"","Jalen Brunson","Nyk","G","27.6","73","35.3","32.2","10.3","461","0.842","1054","0.516","492","0.394","0.54","0.588","28.2","3.6","6.7","0.9","0.2","2.4","31.8","34.9","38.5","10","123.3","112.1"
"","Kevin Durant","Pho","F","35.5","71","37.1","29.1","14.6","411","0.856","976","0.57","383","0.418","0.586","0.631","27.4","6.7","5.2","0.9","1.2","3.3","34.1","32.6","39.3","10.6","118.8","112.9"
"","Devin Booker","Pho","G","27.4","64","35.8","30.2","12","425","0.885","852","0.555","390","0.364","0.552","0.612","27.3","4.6","7","0.9","0.4","2.6","31.9","34.3","39","10.7","124","110.6"
"","Jayson Tatum","Bos","F","26.1","72","35.8","30.3","11.7","488","0.834","801","0.542","593","0.378","0.552","0.605","27","8.2","4.9","1","0.6","2.6","35.3","31.9","40.1","11.5","120.8","107.3"
"","Stephen Curry","Gol","G","36.1","71","32.7","31.3","12.6","317","0.924","550","0.516","841","0.403","0.57","0.614","26.5","4.4","5","0.7","0.3","2.8","30.8","31.5","35.9","10.2","118.9","115.1"
"","De'Aaron Fox","Sac","G","26.3","70","35.8","31.1","11.1","405","0.736","920","0.521","545","0.365","0.531","0.564","26.5","4.6","5.6","2","0.4","2.6","31","32.1","36.7","9.8","113.2","110.6"
"","Nikola Jokic","Den","C","29.1","75","34.6","29.5","14.2","419","0.823","1122","0.624","225","0.347","0.607","0.646","26.4","12.4","9","1.3","0.9","3","38.8","35.4","47.8","16.6","130.5","105"
"","Donovan Mitchell","Cle","G","27.6","53","35.3","31.3","12.5","305","0.866","571","0.541","474","0.365","0.544","0.594","26.4","5.1","6","1.8","0.5","2.8","31.6","32.5","37.6","10.6","116.4","109"
"","Trae Young","Atl","G","25.6","51","36.5","30.8","18.3","396","0.856","526","0.473","456","0.371","0.512","0.581","26.4","2.7","10.8","1.4","0.2","4.3","29.1","37.2","39.9","10","117.6","118.3"
"","Anthony Edwards","Min","G","22.7","75","35.1","32.3","13.4","474","0.831","986","0.51","506","0.36","0.52","0.572","25.9","5.5","5.1","1.3","0.5","3.1","31.4","31.1","36.6","10.2","111.6","106.7"
"","Tyrese Maxey","Phi","G","23.4","68","37.6","28","7.6","370","0.87","828","0.5","552","0.37","0.522","0.571","25.9","3.7","6.3","1","0.5","1.7","29.6","32.2","35.9","9","120.8","114.4"
"","Kyrie Irving","Dal","G","32","56","34.9","28.4","8.6","205","0.907","696","0.546","405","0.41","0.571","0.606","25.8","5","5.1","1.3","0.4","1.8","30.8","30.9","35.9","10","121.7","113.4"
"","LeBron James","Lal","F","39.3","68","35.1","29","15.9","382","0.746","856","0.586","351","0.413","0.596","0.627","25.4","7.2","8.2","1.2","0.5","3.4","32.6","33.5","40.8","13","119.4","113.3"
"","Ja Morant","Mem","G","24.7","9","35.3","30.5","13.7","64","0.813","119","0.555","51","0.275","0.512","0.57","25.1","5.6","8.1","0.8","0.6","3","30.7","33.2","38.8","11.8","116","112.6"
"","Anthony Davis","Lal","C","31.1","74","35.5","26.5","10.9","495","0.816","1144","0.578","100","0.28","0.565","0.619","24.5","12.6","3.5","1.2","2.4","2.1","37.1","27.9","40.6","11.6","123.8","107.4"
"","Damian Lillard","Mil","G","33.7","70","35.4","28.4","13","494","0.921","628","0.492","605","0.355","0.512","0.592","24.5","4.4","7","1","0.2","2.6","28.9","31.6","36","10.3","120.4","114.2"
"","Julius Randle","Nyk","F","29.4","46","35.4","29.8","16","302","0.781","592","0.539","244","0.311","0.518","0.569","24","9.2","5","0.5","0.3","3.5","33.2","28.9","38.1","11.7","112.8","106.9"
"","LaMelo Ball","Cha","G","22.6","22","32.3","34.2","16.4","104","0.865","226","0.5","197","0.355","0.515","0.561","23.9","5.1","8","1.8","0.2","3.8","29","31.9","37","12.3","110.5","109.8"
